'Active'	'Destination Name'	'Carrier Prefix'	'Dial Prefix'	'Full Prefix'	'Exact Match'	'Group'	'Net Price'	'VAT Tax'	'Final Price'	'Currency'	'Initial Increment'	'Regular Increment'	'Grace Period'	'Termination'
'T'	'PC2PC'		'PC'	'PC'	'F'		0	0	0	'USD'	60	60	0	'F'
'T'	'Australia'	'00'	61	'0061'	'F'		0,1	0	0,1	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	611	'00611'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	614	'00614'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	615	'00615'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	6108	'006108'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	6171	'006171'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	6178	'006178'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	6179	'006179'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Australia - Mobiles'	'00'	61071	'0061071'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'492'	'00492'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'493'	'00493'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'494'	'00494'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'495'	'00495'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'496'	'00496'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'497'	'00497'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'498'	'00498'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany'	'00'	'49801'	'0049801'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany'	'00'	'49802'	'0049802'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Germany'	'00'	'499'	'00499'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany'	'00'	'49901'	'0049901'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany'	'00'	'49902'	'0049902'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany'	'00'	'49903'	'0049903'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany'	'00'	'49904'	'0049904'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany'	'00'	'49905'	'0049905'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Germany - Premium'	'00'	'49190'	'0049190'	'F'		15	0	15	'USD'	60	60	0	'F'
'F'	'Germany - Premium'	'00'	'49900'	'0049900'	'F'		15	0	15	'USD'	60	60	0	'F'
